1|Denver Nuggets|20|16|4|.800|48.3|113.5|42.3|86.0|49.2|11.3|30.0|37.5|17.7|22.1|80.1|10.1|34.7|44.8|25.8|11.6|6.9|4.2|4.7|19.3|21.0|8.3
2|Philadelphia 76ers|11|7|4|.636|48.5|102.5|36.7|84.0|43.7|12.2|33.9|35.9|16.9|19.1|88.6|10.0|33.0|43.0|19.1|12.4|7.6|5.3|5.5|18.7|16.0|-1.5
3|Miami Heat|23|13|10|.565|48.2|108.3|39.7|86.8|45.8|12.8|33.7|38.0|16.1|19.8|81.3|9.2|31.0|40.3|23.6|11.7|7.0|3.6|4.7|20.1|18.7|1.5
4|Boston Celtics|20|11|9|.550|48.3|112.0|40.9|85.5|47.8|14.1|38.7|36.4|16.2|20.0|81.0|9.5|33.6|43.1|24.2|12.4|6.0|6.4|4.7|17.2|17.7|3.4
5|New York Knicks|11|6|5|.545|48.0|100.1|35.3|81.5|43.3|9.5|32.7|29.2|20.0|26.8|74.6|12.9|32.5|45.4|18.7|14.6|7.0|4.5|3.8|19.5|21.6|0.4
5|Phoenix Suns|11|6|5|.545|48.0|114.2|43.1|86.8|49.6|9.4|25.8|36.3|18.6|23.4|79.8|9.2|30.8|40.0|24.5|12.1|6.3|5.6|4.0|22.0|20.8|-2.3
7|Los Angeles Lakers|16|8|8|.500|48.3|112.3|41.1|87.1|47.1|10.1|30.3|33.5|20.1|24.8|80.9|9.1|35.6|44.6|24.9|11.9|6.8|6.4|3.8|17.4|21.3|2.4
8|Golden State Warriors|13|6|7|.462|48.0|113.1|41.9|93.6|44.8|14.5|42.5|34.0|14.8|19.7|75.0|12.5|34.5|47.1|28.2|14.4|7.2|4.6|4.6|22.9|19.6|-0.2
9|Sacramento Kings|7|3|4|.429|48.0|113.7|41.0|95.6|42.9|12.1|39.7|30.6|19.6|25.7|76.1|14.0|33.7|47.7|22.0|14.1|7.7|4.3|5.6|22.6|22.7|-2.1
10|Atlanta Hawks|6|2|4|.333|48.0|115.8|44.0|96.3|45.7|14.0|37.3|37.5|13.8|17.0|81.4|12.2|31.7|43.8|24.5|12.8|7.7|4.8|7.2|16.3|16.5|-5.3
10|Memphis Grizzlies|6|2|4|.333|48.8|104.7|38.3|95.3|40.2|12.0|38.5|31.2|16.0|19.2|83.5|13.2|33.3|46.5|23.3|13.0|6.7|3.5|9.2|20.5|17.5|-7.5
12|Cleveland Cavaliers|5|1|4|.200|48.0|94.2|35.2|78.4|44.9|10.0|30.6|32.7|13.8|18.6|74.2|9.2|28.0|37.2|22.0|15.8|6.8|4.0|4.6|20.4|17.4|-5.4
12|LA Clippers|5|1|4|.200|48.0|115.6|40.8|88.6|46.0|12.2|33.8|36.1|21.8|26.4|82.6|11.8|28.2|40.0|21.6|14.0|6.6|4.2|6.2|23.0|21.2|-6.4
12|Milwaukee Bucks|5|1|4|.200|49.0|118.8|44.0|92.6|47.5|15.6|41.2|37.9|15.2|21.4|71.0|10.2|34.2|44.4|26.8|14.4|6.6|3.6|3.4|18.8|20.4|-5.2
12|Minnesota Timberwolves|5|1|4|.200|49.0|105.4|37.8|82.6|45.8|11.2|32.2|34.8|18.6|24.2|76.9|8.4|30.8|39.2|22.6|12.8|6.6|4.8|3.4|21.6|23.0|-8.8
16|Brooklyn Nets|4|0|4|.000|48.0|92.5|34.0|77.3|44.0|11.3|34.5|32.6|13.3|18.3|72.6|5.8|29.3|35.0|22.3|12.3|5.3|3.8|4.0|15.5|18.8|-11.3
